District,Count
8.0,14787
6.0,14679
12.0,14321
4.0,13916
11.0,13437
1.0,13031
18.0,12412
19.0,12211
25.0,11939
3.0,11933
2.0,11773
9.0,10361
7.0,10313
10.0,9952
5.0,9760
16.0,9208
24.0,8454
15.0,8295
14.0,8141
22.0,7663
17.0,6979
20.0,4951
31.0,15
